Görüş,label,Kelimeler,Toplam Ağırlık,binary_sonuçlar,Doğruluk
olumlu yönleri : ürünü 1 aydır eşim kullanıyor başarılı filtresine dikkat etmeniz gerek .,1,olumlu,0.06666666666666667,1,True
toplam 11 adet aldım parasına göre çok iyi bir telefon,1,"çok, iyi",1.4,1,True
ürün çok güzel kaliteli ama bıçakları o kadar keskin ki rendeye getirmek için doğrayıcı el kestiriyor keşke onu çıkamadan bir başka aparat yapılsaymış,0,"çok, güzel, keskin, keşke",1.4416666666666667,1,False
"fırın nerdeyse hiç ısınmıyor , kullanışlı değil . içindeki tel kırık olarak gelmiş .",0,"hiç, kırık",-0.8679245283018867,0,True
olumsuz yönleri : hiç memnun kaldım daha 1 kere çalıştırdım bozuldu geri iade edeceğim,0,"olumsuz, hiç, memnun, daha, geri",-0.44711740041928716,0,True
telefonun bana ulaşma süreci sancılı oldu biraz . eve gelip beni bulamadıklarını söylediler . kimse aramadı dediğimde ise ' sizi arama . zorunluluğumuz yok ' dediler . peki dedim . ürünün olduğu şubelerine gidip paketimi kendim aldım . telefonun bataryası beklendiği gibi uzun süre gidiyor bu konuda mutluyum ancak arama yaptığım zaman ekran kararıyor . watsapta ses kaydı dinlerken sorun yaşıyorum . dokunmatiğiyle ilgili de problem var . geri gönder tekrar al muhabbetlerinden hoşlanamdiğim için bu şartlarda alaişmaya çalışacağım ama daha büyük problem çıkarsa o zaman iade etmeyi düşünebilirim . önceki telefonu yaptırıp ona dönmeyi bile . düşündüm . sevgiler .,1,"biraz, ise, zorunlu, yok, peki, uzun, mutlu, dokunmatik, ilgili, geri, tekrar, daha, büyük, bile",-1.0570754716981134,0,False
ürün geldi ve çalışmıyor,0,,0.0,-1,False
bende beğenerek aldım ama çay yaptığım zaman bir koku oluyor ve onda ne zmm çay demlesem beğenilmiyor . acaba demlerken özellikle dikkat etmemiz gereken durum nedir,0,"ne, acaba, özellikle",0.11944444444444445,1,False
bu fiyata inanılmaz kaliteli bir bulaşık makinesi ben çok memnunum .,1,"çok, memnun",1.2305555555555556,1,True
gayet iyi tavsiye ederim .,1,"gayet, iyi",0.5805555555555556,1,True
"blender kullanışsız , güzel parçalamıyor . sürekli açıp büyük parçaları bıçaklara doğru itmek gerekiyor . ayrıca motoru hemen yandı .",0,"güzel, sürekli, büyük, doğru, ayrıca, hemen",0.6944444444444444,1,False
sorunsuz tam zamanında geldi . fiyat kalite tatminkar,1,"tam, tatminkâr",0.06388888888888888,1,True
beğendim sorunsuz,1,,0.0,-1,False
kargo ile herhangi bir sıkıntı yaşamadım . kargo evime en yakın vestel bayiine vestel bayi de evime getirip kurup garantisini başlattı . anneme hediye aldım makine gayet güzel temizliyormuş :) önceki bulaşık makinesinden daha sessiz çalışıyor .,1,"herhangi, en, gayet, güzel, daha",1.0777777777777777,1,True
fiyatına göre gayet iyi bir ürün olduğunu biliyorum . anneme birkaç sene önce bir alt modelini almıştım hala sorunsuz kullanıyor . sadece biraz ağırmış ama çokta problem değil . bu üründe gayet düzgün ambalajlanmış ulaştı . umarız kullanmaya başlayınca da fikir değiştirtmez .,1,"gayet, iyi, hâlâ, sadece, biraz, ağır, çok, gayet, düzgün",0.9342767295597485,1,True
hayır paketlenmeden dolaylı hasarlı,0,,0.0,-1,False
seramik taban çabuk ısınıp giysiye yapışıyor iki giysimi yaktı .,0,çabuk,0.027777777777777776,1,False
güzel bir ürün tavsiye ederim,1,güzel,0.425,1,True
almayın aldırmayın . hiç ama hiç beğenmedim,0,"hiç, hiç",-1.6037735849056602,0,True
ürünü h . sonu sipariş ettim ve salı günü teslim aldım . ürün gelir gelmez deneme yaptım çok güzel ürün 4000 kullanıyordum ama 5000 gerçekten güzel ve aparatları daha fazla ve mavi rengi de çok hoş gerçekten :) çekim gücü de iyi tavsiye edilir :),1,"çok, güzel, gerçekten, güzel, daha, fazla, mavi, çok, hoş, gerçekten, iyi",3.8722222222222222,1,True
bu ürünü almadan önce biraz araştırma yaptım . kullanıcı yorumları ve çevredeki kullanıcılardan olumlu yönde etkilenerek aldım . kısa sürede ürün geldi ve denedim . 10 yıldır kullandığım farklı bir marka ütüme göre çok çok iyi . 1. ütüleme süresi kısalıyor 2. giysileri çok kolay açıyor 3. malzeme kalitesi yüksek tek olumsuz tarafı ilk 3 adet gömlek ütülememde şu damlatması oldu özellikle tam ısınmadan ütüye devam edildiğinde . bence kullanıma bağlı olarak sorun giderilir . tavsiye ederim pişman olmazsınız .,1,"biraz, olumlu, kısa, çok, çok, iyi, çok, kolay, yüksek, tek, olumsuz, ilk, özellikle, tam, pişman",3.0264675052410897,1,True
4 yıldır hala taş gibi telefon . pili bile hala bir tam günü çıkarıyor,1,"hâlâ, bile, hâlâ, tam",-0.5210167714884696,0,False
ürün oyuncak ütü gibi,0,,0.0,-1,False
güzel ürün . hızlı teslimat,1,güzel,0.425,1,True
ürün kaliteli ancak kargo süresi çok uzun 5 günde ancak gelebildi .,0,"çok, uzun",1.05,1,False
evet güzel yalnız iletişim eksik faturam yok,1,"evet, güzel, yalnız, yok",-0.5888364779874213,0,False
uydular güzel fakat yeterli değil bu fiyata göre subwofer beklediğimden çok zayıf çıktı başlar hiç yok gibi arkadaşımın almış olduğu 9w çıkışlı creative a120 şaşırtıcı bir şekilde bundan daha iyi ses veriyor anlayabilmiş değilim tavsiye etmiyorum,0,"güzel, yeterli, çok, zayıf, hiç, yok, daha, iyi",0.33207547169811313,1,False
"ürünün açıklamasında karbon filtre ve gider borusunun olmadığını ve servisinde bunu fırsat bilip 25 tl ilk filtreyi 80 tl ye , 8tl ilk boruyu 20 tl satmaya çalışması ile karşılaşmak sıkıntılı bir durum . ayrıca ürün e sınıfı elektrik tüketimi yapıyormuş bunu da satan arkadaş belirtmiyor . kargo şirketi paketi açık vaziyette getirdi . içini açıp kontrol ederek aldım mecburen . başka marka olsa garantiniz bozuldu gibi bir sonuçla karşılaşmam olasıydı . sonuç olarak işini iyi yapan bir satıcı değil aynı zamanda işini iyi yapan bir marka değil . iyi günler .",0,"ilk, ilk, ayrıca, açık, mecburen, başka, olası, iyi, aynı, iyi, iyi",1.5583333333333331,1,False
gerçekten ürünü beğendim . çok kullanışlı . pratik .,1,"gerçekten, çok",1.075,1,True
çok pratik tatil için 👍🏻,1,çok,1.0,1,True
ürün elime hala geçmediği için bilmiyorum,0,hâlâ,-0.13207547169811318,0,True
