,Görüş,Clean,kelimeler2,sonuçlar,label,binary_sonuçlar
0,ses olayı süper....gece çalıştır sıkıntı yok.....kablo uzun işinizi çok rahat ettirir.....çekme olayı son derece güzel içiniz rahat olsun......diğerlerini saymıyorum bile.....,ses olayı süper ... . gece çalıştır sıkıntı yok ... . . kablo uzun işinizi çok rahat ettirir ... . . çekme olayı son derece güzel içiniz rahat olsun ... ... diğerlerini saymıyorum bile ... . .,"süper, yok, uzun, çok, rahat, son, güzel, rahat, diğer, bile",0.4160175485719402,1,1
1,kullanisli baya,kullanışlı baya,,0.0,1,-1
2,Mukemmel bir ürün kesinlikle alın,mükemmel bir ürün kesinlikle alın,"mükemmel, kesin",0.15468409586056645,1,1
3,"Arkadaşlar ürün çok güzel ve de sessiz çalışıyo.Kargo hızlıydı fakat ben
kargoyu takip edemedim(Ceva Lojistik).onun dışında bi sıkıntı yok.Mağaza
da güvenilir bu arada",arkadaşlar ürün çok güzel ve de sessiz çalışıyor . kargo hızlıydı fakat ben kargoyu takip edemedim ( ceva lojistik ) . onun dışında bir sıkıntı yok . mağaza da güvenilir bu arada,"çok, güzel, yok",0.4553376906318083,1,1
4,İndirimdeyken almıştık gayet kullanışlı güçlü bir ürün,indirimdeyken almıştık gayet kullanışlı güçlü bir ürün,,0.0,1,-1
5,"Teşekkür ediyorum ürün çok güzel ve kargo koşa sürede ulaştı.İnternetten almada terettüt etmiştim ama sıkıntı yaşamadım, cihaz 2 yıl Apple  Türkiye garantıli, tavsiye ederim.","teşekkür ediyorum ürün çok güzel ve kargo koşa sürede ulaştı . internetten almada terettüp etmiştim ama sıkıntı yaşamadım , cihaz 2 yıl apple türkiye garantili , tavsiye ederim .","çok, güzel, koşa",1.457516339869281,1,1
6,"guzel urun, keske gri metal renkli olsaydi sapi daha guzel olurdu, siyah
cikti, bundan haric urun guzel. tesekkurler","güzel ürün , keşke gri metal renkli olsaydı sapı daha güzel olurdu , siyah çıktı , bundan hariç ürün güzel . teşekkürler","güzel, keşke, gri, daha, güzel, siyah, güzel",1.7254901960784315,1,1
7,3 yıldır kullanıyorum ama yok tutma yeri kırıldı yok borusu yarıldı diyenleri anlayamıyorum nasıl bir süpürme şekilleri var çözemedim . şans işi birazda.tamam biraz daha hassas bir makine.hassas derken sonuçta kumandalı dijital göstergeli bir tutma yeri var nasıl  TV kumandasina ozen gosteyirsaniz buda öyle. bu süpürgenin bir üst modelini anneme aldık gece mavisi olani şu LED'li olan.almaz olaydik berbat.. çekmiyor ve çok çok hassas halıya yapismiyor bile cektimi çekmedi ki  diye süpürgenin yüzüne bakıyoruz kendine hayrı yok.,3 yıldır kullanıyorum ama yok tutma yeri kırıldı yok borusu yarıldı diyenleri anlayamıyorum nasıl bir süpürme şekilleri var çözemedim . şans işi birazda . tamam biraz daha hassas bir makine . hassas derken sonuçta kumandalı dijital göstergeli bir tutma yeri var nasıl tv kumandasına özen gösteyirsanız buda öyle . bu süpürgenin bir üst modelini anneme aldık gece mavisi olanı şu led'li olan . almaz olaydık berbat . . çekmiyor ve çok çok hassas halıya yapışmıyor bile çekti mi çekmedi ki diye süpürgenin yüzüne bakıyoruz kendine hayrı yok .,"yok, yok, nasıl, var, biraz, tamam, biraz, daha, hassas, hassas, var, nasıl, öyle, berbat, çok, çok, hassas, bile, yok",-1.4703494792132983,1,0
8,fiyatı da kullanısı da cok iyi,fiyatı da kullanışı da çok iyi,"çok, iyi",1.4008714596949892,1,1
9,Daha öncede uzun süre kullandığım bir ürün,daha öncede uzun süre kullandığım bir ürün,"daha, uzun",0.38562091503267976,1,1
10,bugün ilk defa kullanıldı.  ilk izlenim mükemmel olduğu yönünde.,bugün ilk defa kullanıldı . ilk izlenim mükemmel olduğu yönünde .,"ilk, ilk, mükemmel",0.2178649237472767,1,1
11,"Birçok kez kızartma yaptım patates olsun patlıcan olsun kabak olsun ve hepsi çok lezzetli oldu. Size farklı pişirme seçenekleri sunuyor. Üstelik temizlemesi de bir o kadar kolay, herkese tavsiye ederim.","birçok kez kızartma yaptım patates olsun patlıcan olsun kabak olsun ve hepsi çok lezzetli oldu . size farklı pişirme seçenekleri sunuyor . üstelik temizlemesi de bir o kadar kolay , herkese tavsiye ederim .","çok, üstelik, kolay",1.091503267973856,1,1
