en,84
ne,74
ta,4
az,-20
cam,1
dar,-4
dik,-1
hem,2
bol,2
hep,15
ilk,68
pek,22
tam,52
bor,2
tek,50
iri,-2
ise,14
gri,1
var,113
iyi,322
pis,-3
mor,2
sol,2
son,14
boz,-1
yok,-238
tiz,3
zor,-41
toz,1
daha,254
kaba,-2
baki,2
feci,1
acil,-1
fena,8
bile,-74
sade,4
ince,15
asla,-11
onca,3
mail,5
geri,51
ufak,-11
peki,2
emin,1
keza,2
eski,-27
mini,3
mavi,7
krem,2
elim,2
eksi,-1
kaç,10
dolu,6
yine,31
yeni,30
evet,28
hiç,-178
orta,2
uzak,-12
iken,3
geç,-15
sert,-9
niye,-1
çok,763
seri,2
ucuz,30
sulu,9
uzun,37
şu,1
düz,2
üst,6
acaba,4
ciddi,3
hafif,23
ideal,4
ancak,1
ahmak,-1
hangi,3
belli,10
pembe,2
belki,4
genel,12
kibar,2
hemen,43
fazla,72
sık,10
rahat,30
tamam,12
derin,6
bazen,8
lanet,-2
erken,4
sanki,18
sakin,5
tuhaf,1
biraz,-77
gayet,136
kesin,86
beyaz,7
hamur,2
minik,2
siyah,7
kolay,67
sepet,-1
zaten,42
sonra,52
neyse,3
yerli,17
rezil,-3
optik,2
mobil,4
temiz,24
yeter,2
bozuk,-18
önce,58
kopuk,-2
vasat,-1
maruz,-5
boş,-7
sahte,-3
illâ,2
dâhi,2
bariz,2
hasta,-2
hoş,17
mutlu,7
uygun,51
paket,1
enayi,-1
turbo,8
tâbi,6
makul,9
çift,1
öyle,20
özel,4
güya,2
yasal,2
basit,13
susuz,-2
tutuk,-2
harap,1
sabit,2
eğri,2
galiba,7
garip,-2
sadece,-68
cidden,2
dandik,-4
bazı,8
çiğ,-5
harika,69
kısa,27
asıl,5
berbat,-36
sarı,1
aynı,55
ilgili,12
kaygan,3
muadil,5
ayrı,8
razı,2
sırf,-9
boktan,-3
manyak,-2
manuel,2
hayran,2
hassas,-13
keskin,1
teknik,8
benzer,3
mundar,-1
normal,11
resmen,16
çabuk,20
yerine,-10
ertesi,20
pratik,3
tekrar,4
memnun,167
gerçi,1
saçma,-6
geçer,1
geçen,5
kalite,3
parlak,3
hâlâ,-35
koşa,1
olumlu,60
çizik,-1
işte,2
böyle,36
eşit,3
resmî,3
streç,2
epeyce,1
hâlen,-2
güzel,357
henüz,-17
aksine,-2
süper,33
diğer,42
boğuk,-3
kötü,-71
hallice,1
beraber,3
sıcak,12
genelde,2
kalın,-2
doğru,13
kocaman,4
rencide,-1
canavar,2
ıslak,-4
nasıl,36
olası,4
soğuk,-2
alerjik,2
artık,21
yakın,10
lazım,19
gerekli,2
hazır,4
elbette,2
tamamen,6
çoğu,6
zayıf,-12
yeniden,5
yoğun,-4
başka,15
benzeri,1
entegre,1
açık,17
benimki,2
gerçek,2
plastik,4
meselâ,3
ilginç,6
şık,7
yetkili,4
yeterli,17
keşke,11
şimdi,12
geniş,4
muazzam,6
anormal,-1
sonunda,3
sevimli,1
tatlı,2
estetik,1
yavaş,-17
görsel,8
lütfen,4
uyduruk,3
müsait,1
olumsuz,-75
zorunlu,3
ağır,-13
yüksek,19
altüst,-1
sağlam,45
pahalı,-27
mağdur,-8
ılık,2
kapalı,9
ufacık,4
bütün,3
dalgın,-2
büyük,49
maalesef,-20
sıkı,3
ayrıca,63
büzük,-2
herhangi,8
üzgün,-1
türlü,7
çabucak,4
bembeyaz,4
hemfikir,1
bilimsel,2
mecburen,-1
tedirgin,-4
moralman,-2
orijinal,2
yaygın,-2
şeffaf,1
şahane,12
ekonomik,7
yalnız,-12
önceden,1
belirsiz,-1
maksimum,3
oldukça,20
otomatik,7
lojistik,-3
simsiyah,1
kısmî,1
yuvarlak,3
pişman,-48
boşuna,-9
tertemiz,6
yetersiz,-7
korkunç,-2
sürekli,30
üstelik,2
yurtiçi,4
defalarca,1
şöyle,8
yabancı,1
alfabetik,1
günlük,5
aslında,4
kırık,-13
düzgün,20
mümkün,6
hızlı,4
hakikaten,2
nasılsa,4
küçük,-33
dürüst,2
çürük,-2
herhâlde,4
neredeyse,8
paslanmaz,2
yeterince,6
ergonomik,7
karşı,3
perişan,-1
mükemmel,36
bayağı,2
yumuşak,1
önünden,2
ardından,4
azıcık,-3
müthiş,5
minnacık,1
yıllarca,2
kızgın,-3
genellikle,1
bambaşka,2
yazılı,2
düşük,-19
kesinlikle,20
muhtemelen,4
dokunmatik,5
elektronik,6
teknolojik,1
gerçekten,60
şimdilik,16
yanlış,-15
tatminkâr,2
özellikle,24
muhteşem,4
değişik,1
tamamıyla,2
saçmalık,-2
aşırı,9
otomatikman,1
fonksiyonel,2
peşpeşe,3
sıkıcı,-4
kısacası,3
tarafından,1
kırılgan,-4
kaçıncı,1
fazlasıyla,11
yaklaşık,17
sırasında,-2
kırmızı,7
karışık,-2
darmadağın,-2
yumuşacık,2
açıkçası,7
yurtdışı,2
kendiliğinden,1
dolayısıyla,8
kırışık,-1
inandırıcı,1
